x,y,orth.reg.n.observations,orth.reg.slope,orth.reg.intercept,orth.reg.ssq,orth.reg.mse,orth.reg.r.squared,deming.reg.slope,deming.reg.slope.lower.ci,deming.reg.slope.upper.ci,deming.reg.intercept,deming.reg.intercept.lower.ci,deming.reg.intercept.upper.ci,reg.n.observations,reg.slope,reg.intercept,reg.r.squared,reg.r.pearson,reg.r.pvalue,reg.df
NEMATODE:EC10:2:Growth,NEMATODE:EC50:2:Growth,11,0.784714379918325,0.751694255158916,0.129259445769613,0.0189867632097362,0.967526963697607,0.784695684652451,0.654155237725133,0.915236131579768,0.751711629423704,0.548657759172195,0.954765499675213,11,0.764,0.771,0.933,0.966,0,9
NEMATODE:EC10:2:Growth,NEMATODE_COPAS1:AC50:NA:Growth,11,4.81589055964234,-4.69569940614794,5.56901544982326,12.248189768899,0.495221680869787,4.81590184230562,-16.5032059500637,26.1350096346749,-4.69571277725275,-32.2378484325149,22.8464228780094,11,0.361,0.583,0.049,0.221,0.513,9
NEMATODE:EC10:2:Growth,RAT_EMPIRICAL:LD50:NA:Mortality,14,14.1752351724511,-12.6085761841084,6.00725976585412,86.6492693303078,0.40369320953208,14.1752337527557,-602.678361957727,631.028829463239,-12.6085746704372,-647.717246948557,622.500097607683,14,0.094,2.404,0.004,0.062,0.834,12
NEMATODE:EC10:2:Growth,INVERT:NOEC:21:Population,5,2.28489345797386,-3.72376658461424,0.342882295360269,0.426596192692693,0.970162796008493,2.2848902961591,1.02255203391872,3.54722855839947,-3.72376339823349,-4.76537609507641,-2.68215070139058,5,2.085,-3.523,0.896,0.947,0.015,3
NEMATODE:EC10:2:Growth,INVERT:NOEC:21:Reproduction,7,8.38401963950428,-6.57856222935955,0.74105232679598,7.54727762708,0.848504275315072,8.38401470779258,-432.104139274932,448.872168690517,-6.57855964225879,-273.570279597494,260.413160312976,7,1.138,-2.778,0.125,0.353,0.438,5
NEMATODE:EC10:2:Growth,INVERT:EC50:2:Intoxication,15,3.60717366558274,-4.40179541828572,3.93807600015812,3.6786097860882,0.810263059173644,3.6071851120379,1.17197207908884,6.04239814498696,-4.40180744693059,-7.19106239554524,-1.61255249831594,15,1.366,-2.047,0.336,0.58,0.023,13
NEMATODE:EC10:2:Growth,INVERT:EC50:1:Intoxication,11,3.17299520876827,-3.6151041037378,1.9742531136594,1.9864393875074,0.875209796526037,3.17299657014926,1.27223053363352,5.073762606665,-3.61510550846346,-5.83471943167323,-1.39549158525369,11,1.774,-2.171,0.518,0.72,0.012,9
NEMATODE:EC10:2:Growth,INVERT:LC50:2:Mortality,16,2.48663113554494,-2.84100800420359,3.94637542439028,1.77175839738468,0.763693983913076,2.48664724745982,1.14515845776936,3.82813603715028,-2.84102319721227,-4.40158597297886,-1.28046042144569,16,1.178,-1.607,0.401,0.634,0.008,14
NEMATODE:EC10:2:Growth,INVERT:NOEC:7:Mortality,6,2.49827386799988,-4.5321924131294,0.432571709846973,0.522068800983018,0.945937844409549,2.49827908404399,1.79290442196744,3.20365374612053,-4.53219763125757,-5.46601638464162,-3.59837887787351,6,2.07,-4.104,0.802,0.896,0.016,4
NEMATODE:EC10:2:Growth,FISH:LC50:3:Mortality,13,2.23648262607244,-1.69066841096152,3.20009770807767,1.47742468824504,0.761894621051808,2.23650067892518,0.407801811631695,4.06519954621867,-1.69068609790994,-3.75886205622223,0.377489860402356,13,1.154,-0.63,0.435,0.659,0.014,11
NEMATODE:EC10:2:Growth,FISH:NOEC:7:Growth,5,2.08468437541273,-3.56754988854515,0.364008731121832,0.38919150635901,0.938251183148232,2.08468138440642,0.720487727603106,3.44887504120974,-3.56754689076417,-5.85337319558362,-1.28172058594472,5,1.773,-3.255,0.817,0.904,0.035,3
NEMATODE:EC10:2:Growth,FISH:NOEC:28:Mortality,6,3.29616062001369,-4.65435080863285,1.3318571522843,2.633675339294,0.879414193561873,3.29616153121344,-0.913261061237793,7.50558412366468,-4.65435181916088,-9.80779095857212,0.499087320250365,6,1.818,-3.015,0.513,0.716,0.109,4
NEMATODE:EC10:2:Growth,INVERT:NOEC:7:Reproduction,6,1.37207813974375,-3.56555346611684,0.17208466221247,0.0826751626114681,0.949947872312655,1.37206602781145,0.913065028532679,1.83106702709023,-3.56554148098172,-4.12166260103361,-3.00942036092982,6,1.275,-3.47,0.893,0.945,0.004,4
NEMATODE:EC10:2:Growth,FISH:LC50:2:Mortality,15,1.7035711538442,-1.16267912355814,3.6769283962839,0.956529555709917,0.665360553261929,1.70357187237225,0.499638655446311,2.90750508929819,-1.16267981366856,-2.48882671975744,0.163467092420324,15,0.86,-0.352,0.377,0.614,0.015,13
NEMATODE:EC10:2:Growth,INVERT:EC50:4:Immobilization: Change in the failure to respond or lack of movement after mechanical stimulation.,6,4.09434155055376,-3.13174654571228,0.210213992480479,0.622360692945809,0.980026016148072,4.09434915325363,1.52757355962059,6.66112474688667,-3.13175041194028,-4.91423041607861,-1.34927040780196,6,3.467,-2.813,0.838,0.915,0.01,4
NEMATODE:EC10:2:Growth,INVERT:LC50:4:Mortality,14,2.20975970559272,-2.43767870088899,3.87434919305962,1.62806738281105,0.716966130924709,2.20974327835199,0.864538622948839,3.55494793375514,-2.43766370443889,-3.93900279238924,-0.936324616488535,14,1.022,-1.354,0.374,0.611,0.02,12
NEMATODE:EC10:2:Growth,FISH:LC50:7:Mortality,9,1.58602355831847,-1.75961311455017,1.81637013765427,0.709488449922614,0.776860751893535,1.58602159929213,0.331775640645775,2.84026755793849,-1.75961120675475,-3.32133850421205,-0.197883909297447,9,1.054,-1.241,0.553,0.744,0.022,7
NEMATODE:EC10:2:Growth,FISH:LC50:4:Mortality,17,2.15319015275346,-2.03127125820331,4.06736603157193,1.34850597869788,0.743750062350165,2.15317628880913,0.75322597673389,3.55312660088438,-2.03125745255393,-3.71578430024793,-0.34673060485994,17,1.092,-0.975,0.42,0.648,0.005,15
NEMATODE:EC10:2:Growth,INVERT:EC50:2:Immobilization: Change in the failure to respond or lack of movement after mechanical stimulation.,11,4.29446658495323,-5.44646992876705,3.83453303023572,6.77751734798609,0.753248282480778,4.29445195712094,-6.1896628171992,14.7785667314411,-5.44645584843631,-16.516099415805,5.62318771893234,11,1.026,-2.301,0.204,0.451,0.163,9
NEMATODE:EC10:2:Growth,INVERT:EC50:2:Mortality,8,3.00771668831846,-4.58310296763079,1.83285727292908,2.30169292509975,0.824149056122641,3.00771010383024,1.13473118271794,4.88068902494253,-4.58309650038815,-7.1744206777931,-1.99177232298321,8,1.452,-3.055,0.432,0.657,0.077,6
NEMATODE:EC10:2:Growth,INVERT:LC50:1:Mortality,14,2.24075573506593,-2.37577022068018,2.13452420611342,0.91799578040551,0.865454798034182,2.24076220455312,1.35280519137274,3.12871921773349,-2.37577642086711,-3.55608416916356,-1.19546867257066,14,1.526,-1.691,0.623,0.789,0.001,12
